Year,Season,Location,Crop_Type,Temperature_C,Rainfall_mm,Humidity_pct,Soil_Type,Soil_Moisture_pct,Irrigation_mm,N_Fertilizer,P_Fertilizer,K_Fertilizer,Yield_kg_per_ha
2021,Rabi,Region_South,Soybean,16.95,896.45,72.21,Silt,17.48,234.73,49.8,40.66,71.47,149.88
2022,Kharif,Region_Central,Maize,33.79,519.68,78.78,Clay,62.62,449.17,100.62,24.22,26.11,2114.9
2017,Kharif,Region_North,Maize,25.81,918.83,54.74,Loam,27.91,534.3,138.05,70.81,58.91,874.06
2024,Zaid,Region_South,Wheat,19.64,1393.61,64.57,Silt,21.34,132.92,182.95,14.26,27.81,213.61
2012,Zaid,Region_North,Wheat,35.91,382.95,69.03,Silt,37.92,476.72,99.8,83.22,59.47,1375.37
2023,Rabi,Region_North,Soybean,21.66,1019.03,86.49,Loam,62.49,283.43,198.61,65.85,41.86,91.76
2010,Rabi,Region_South,Wheat,24.78,1056.87,61.77,Sandy,29.32,437.73,134.12,42.27,19.15,483.04
2013,Kharif,Region_North,Rice,37.14,1317.66,69.61,Silt,30.99,398.34,91.53,11.29,37.64,1476.4
2011,Zaid,Region_South,Maize,33.86,1017.72,91.61,Silt,31.99,303.0,73.82,30.82,52.28,826.2
2017,Rabi,Region_South,Soybean,23.85,803.2,100.0,Silt,57.25,309.35,149.43,53.72,0.0,70.25
2013,Rabi,Region_South,Soybean,22.76,926.78,56.94,Silt,33.31,400.24,94.39,42.21,58.2,81.57
2011,Rabi,Region_East,Rice,17.26,719.58,72.1,Loam,46.69,135.53,109.11,18.03,10.69,2119.74
2023,Rabi,Region_North,Rice,21.92,1165.78,47.38,Loam,41.81,128.58,126.48,62.15,35.63,2515.47
2015,Rabi,Region_West,Rice,32.87,335.31,69.78,Loam,38.35,612.14,127.98,38.08,37.82,2039.45
2015,Rabi,Region_South,Rice,21.12,653.64,65.65,Sandy,32.52,475.15,196.5,45.65,0.0,1402.86
2019,Kharif,Region_North,Soybean,29.22,933.85,88.77,Silt,69.53,448.87,135.75,59.9,27.71,75.27
2013,Zaid,Region_Central,Maize,38.29,1151.28,52.41,Sandy,81.88,276.58,95.81,57.64,48.36,456.81
2015,Zaid,Region_South,Maize,24.29,795.86,50.35,Sandy,26.75,54.17,90.14,61.6,77.26,1375.92
2022,Rabi,Region_South,Rice,26.1,565.3,92.81,Loam,23.93,220.47,186.69,53.97,56.45,1247.8
2024,Zaid,Region_West,Wheat,24.06,736.74,60.5,Silt,40.61,361.51,99.38,26.61,58.11,442.83
2011,Zaid,Region_East,Soybean,34.0,689.91,72.96,Silt,5.9,472.62,143.39,39.15,0.0,73.44
2019,Zaid,Region_East,Maize,31.89,703.71,74.43,Sandy,40.72,364.25,127.69,66.99,33.97,2490.56
2021,Rabi,Region_South,Rice,26.06,669.45,58.19,Clay,70.11,368.44,136.82,13.02,76.39,1375.12
2011,Rabi,Region_North,Wheat,17.94,669.58,58.21,Clay,31.02,274.29,175.93,17.44,59.97,919.09
2019,Zaid,Region_Central,Wheat,29.32,285.22,86.9,Silt,56.21,397.46,131.31,50.82,29.75,1585.56
2023,Zaid,Region_Central,Rice,35.32,890.05,80.16,Silt,62.04,163.64,152.7,38.2,42.29,2001.06
2013,Rabi,Region_North,Soybean,20.45,1002.42,69.76,Sandy,27.08,318.64,132.23,6.49,59.6,66.35
2023,Kharif,Region_South,Maize,33.78,1249.52,67.95,Sandy,42.67,265.59,101.86,53.98,59.09,614.81
2024,Zaid,Region_Central,Wheat,33.05,1058.12,74.75,Loam,45.31,516.81,139.76,49.06,37.47,417.26
2025,Kharif,Region_East,Maize,27.77,1042.81,75.73,Sandy,50.93,0.0,93.96,92.69,35.1,2277.7
2024,Zaid,Region_North,Maize,30.42,888.8,88.92,Sandy,52.03,277.25,73.46,43.88,48.84,1019.5
2017,Kharif,Region_West,Wheat,30.02,271.23,69.69,Clay,56.84,337.38,143.26,82.4,59.5,1528.25
2023,Kharif,Region_South,Rice,28.9,884.04,76.64,Clay,28.27,21.97,138.56,59.67,32.15,2460.8
2016,Kharif,Region_North,Wheat,33.65,833.71,80.77,Clay,42.61,411.08,134.45,2.36,3.0,290.98
2021,Rabi,Region_Central,Wheat,21.14,1108.96,81.04,Clay,62.24,280.26,119.08,40.61,38.4,381.0
2018,Kharif,Region_South,Soybean,27.13,970.24,91.75,Sandy,63.86,156.91,117.11,38.72,14.74,72.45
2023,Kharif,Region_East,Maize,34.55,761.04,69.81,Silt,43.38,452.78,76.66,38.22,78.67,1442.93
2017,Kharif,Region_South,Rice,27.89,1387.45,61.51,Clay,32.03,188.43,45.51,22.71,20.93,1075.54
2014,Zaid,Region_South,Maize,29.3,1054.54,64.63,Loam,55.53,421.28,155.51,56.04,37.64,825.09
2025,Kharif,Region_East,Wheat,17.57,901.96,79.61,Loam,48.04,328.0,154.97,33.12,25.79,363.78
2022,Zaid,Region_East,Rice,26.8,936.59,68.38,Sandy,47.72,238.5,109.96,63.52,29.64,2082.71
2011,Kharif,Region_South,Rice,25.81,818.35,100.0,Loam,51.64,148.6,178.87,60.58,56.68,2252.4
2024,Kharif,Region_East,Rice,27.3,804.95,70.19,Clay,25.74,192.98,140.0,35.22,61.06,2518.02
2014,Rabi,Region_North,Rice,19.39,148.93,55.68,Silt,52.71,431.97,133.52,27.87,53.12,1149.11
2017,Zaid,Region_East,Soybean,36.92,525.47,74.84,Silt,42.32,472.96,200.7,28.83,59.36,105.62
2019,Kharif,Region_East,Rice,26.12,637.72,93.08,Clay,57.12,404.24,69.8,40.54,29.48,1444.16
2018,Zaid,Region_South,Wheat,28.5,935.19,57.76,Loam,40.31,295.62,118.11,46.44,18.08,426.64
2021,Zaid,Region_North,Soybean,32.78,304.49,57.33,Sandy,48.75,403.93,85.92,31.04,25.02,325.82
2021,Rabi,Region_West,Wheat,17.49,643.65,67.2,Silt,46.86,347.46,105.29,31.7,48.62,1500.12
2021,Rabi,Region_West,Wheat,30.82,605.2,60.31,Clay,31.81,209.71,117.31,45.7,64.34,1830.54
2022,Rabi,Region_Central,Maize,27.01,835.03,49.75,Clay,26.47,162.6,118.22,60.66,15.31,1950.53
2018,Rabi,Region_East,Rice,17.16,935.94,46.89,Loam,52.1,252.96,77.06,44.87,32.89,1619.5
2022,Rabi,Region_East,Rice,28.07,606.26,73.49,Sandy,27.15,204.81,122.72,39.44,34.54,1311.61
2024,Rabi,Region_North,Wheat,29.11,627.82,80.73,Sandy,34.96,319.48,87.0,44.74,24.54,952.93
2022,Rabi,Region_West,Rice,17.29,595.91,59.48,Loam,34.51,540.93,167.87,4.08,51.94,2307.33
2010,Rabi,Region_Central,Soybean,17.17,682.96,68.94,Clay,45.51,341.98,150.58,35.36,59.97,100.59
2018,Kharif,Region_North,Maize,26.95,784.66,72.77,Loam,50.14,520.38,133.76,14.87,89.06,1919.78
2016,Zaid,Region_East,Rice,24.92,1194.54,53.42,Loam,16.65,300.08,100.96,29.1,79.5,1348.99
2018,Rabi,Region_West,Rice,19.1,496.25,82.88,Loam,29.12,274.83,126.19,21.7,55.8,1392.87
2017,Rabi,Region_Central,Soybean,21.0,1325.25,73.18,Clay,28.42,72.75,148.27,21.43,30.81,81.14
2010,Zaid,Region_South,Maize,34.52,429.85,77.87,Silt,36.58,395.97,106.39,20.3,54.14,2400.35
2021,Kharif,Region_West,Soybean,30.41,1086.39,80.2,Clay,10.12,201.59,56.4,86.51,0.9,137.43
2017,Zaid,Region_Central,Wheat,31.26,657.26,100.0,Silt,57.01,170.91,148.76,38.87,53.23,835.54
2017,Zaid,Region_North,Wheat,29.58,526.71,54.63,Silt,40.91,148.03,141.19,64.09,47.31,1990.62
2024,Rabi,Region_South,Rice,16.46,1195.06,56.61,Loam,37.99,353.08,132.85,55.21,41.54,1961.52
2020,Zaid,Region_Central,Maize,34.96,824.53,95.24,Sandy,51.32,213.31,89.65,53.77,24.37,1542.45
2012,Zaid,Region_Central,Wheat,34.85,813.05,79.78,Loam,47.76,547.01,158.4,50.88,55.88,376.29
2010,Rabi,Region_East,Soybean,19.92,716.88,71.04,Clay,47.6,467.85,165.95,81.72,20.21,115.26
2017,Rabi,Region_West,Wheat,17.49,625.56,62.83,Sandy,39.77,219.88,131.26,48.55,61.1,1864.78
2012,Rabi,Region_East,Wheat,30.78,746.95,66.52,Sandy,41.57,0.0,104.15,4.39,52.02,2116.25
2012,Rabi,Region_South,Soybean,24.23,0.0,66.81,Clay,52.66,317.76,104.99,36.52,48.59,304.99
2010,Zaid,Region_Central,Rice,33.98,243.89,47.58,Clay,47.98,253.49,104.18,19.07,20.32,847.19
2020,Zaid,Region_East,Maize,34.2,917.7,84.6,Loam,65.92,433.49,102.36,12.0,26.95,790.99
2014,Kharif,Region_West,Rice,23.99,1154.83,39.84,Clay,42.1,302.02,105.84,48.63,10.26,2021.43
2019,Kharif,Region_South,Soybean,37.5,1209.07,57.26,Silt,49.76,472.64,132.93,0.0,56.8,114.65
2016,Zaid,Region_North,Wheat,29.98,512.9,63.52,Silt,38.16,373.99,155.86,42.17,40.73,1089.32
2019,Kharif,Region_East,Maize,34.11,857.85,100.0,Sandy,44.86,108.5,178.04,7.05,29.25,3016.39
2018,Zaid,Region_South,Rice,39.29,141.96,68.49,Loam,45.64,187.96,83.48,36.49,37.27,845.09
2021,Kharif,Region_North,Soybean,30.41,694.58,74.75,Loam,33.34,231.83,90.02,55.53,61.0,134.24
2016,Rabi,Region_East,Wheat,17.09,1047.11,56.84,Sandy,30.3,274.73,153.77,26.94,17.21,366.9
2018,Kharif,Region_South,Wheat,17.53,794.75,83.03,Clay,49.62,259.55,83.48,16.35,31.23,417.74
2017,Rabi,Region_South,Rice,22.81,700.48,100.0,Loam,46.82,407.76,73.66,33.19,8.41,1240.2
2021,Rabi,Region_East,Soybean,24.25,796.01,77.37,Sandy,62.01,375.42,82.29,52.39,18.96,61.94
2011,Rabi,Region_South,Wheat,20.1,1184.85,64.97,Sandy,40.07,236.83,112.95,46.07,34.98,510.19
2010,Rabi,Region_Central,Wheat,23.68,726.59,39.52,Silt,25.08,399.41,185.43,38.57,61.68,274.33
2025,Kharif,Region_East,Maize,32.15,821.79,80.41,Sandy,40.17,124.33,114.89,23.27,52.84,2752.82
2016,Zaid,Region_South,Wheat,36.97,1255.82,55.21,Clay,51.54,404.87,130.97,31.86,59.79,354.07
2016,Rabi,Region_North,Rice,21.86,731.5,58.66,Clay,8.18,430.34,72.07,53.79,53.27,957.17
2023,Kharif,Region_North,Soybean,29.77,309.04,83.98,Clay,39.91,341.32,162.97,37.33,20.78,482.41
2017,Rabi,Region_Central,Soybean,22.11,1210.52,62.9,Clay,50.0,378.85,154.86,44.84,73.89,95.24
2014,Kharif,Region_East,Maize,30.17,1104.68,68.59,Sandy,43.52,398.57,101.25,32.8,54.84,537.86
2012,Kharif,Region_South,Soybean,27.43,135.0,81.25,Loam,34.62,457.16,92.51,17.4,75.93,482.72
2021,Kharif,Region_South,Rice,27.41,760.94,59.41,Sandy,21.96,411.27,158.32,80.05,73.48,2168.02
2017,Zaid,Region_North,Wheat,29.72,793.35,50.67,Loam,39.82,481.13,110.97,55.68,38.17,384.31
2015,Kharif,Region_Central,Maize,30.78,1210.6,76.96,Loam,21.64,64.06,93.45,45.55,30.22,1117.73
2020,Kharif,Region_North,Soybean,25.76,795.69,81.32,Loam,50.1,319.87,105.34,36.71,0.0,134.9
2012,Zaid,Region_North,Maize,29.75,849.78,61.34,Silt,40.92,293.11,129.55,68.43,43.32,2449.74
2010,Zaid,Region_Central,Maize,41.04,859.1,60.59,Clay,62.42,322.84,149.27,24.07,39.21,1513.34
2012,Kharif,Region_East,Soybean,34.48,660.17,53.5,Silt,10.7,435.14,132.93,53.4,27.22,80.78
2014,Zaid,Region_South,Maize,27.21,1189.17,80.7,Sandy,34.9,319.35,130.86,40.76,30.02,466.3
2024,Rabi,Region_East,Soybean,27.32,562.32,98.78,Silt,51.0,313.28,110.38,34.75,50.38,131.74
2023,Rabi,Region_West,Rice,26.14,654.37,83.97,Loam,57.14,370.06,125.82,34.45,2.32,1655.22
2012,Zaid,Region_West,Soybean,31.48,798.22,68.63,Sandy,51.61,74.01,104.34,66.12,65.62,160.27
2010,Zaid,Region_West,Wheat,28.46,398.58,80.75,Clay,25.7,533.4,109.21,2.57,57.5,836.41
2014,Kharif,Region_Central,Soybean,25.89,1329.62,57.52,Loam,32.78,284.29,176.87,73.3,32.87,119.8
2019,Zaid,Region_North,Wheat,33.12,799.74,75.53,Clay,6.46,521.55,121.69,60.48,38.48,256.3
2016,Kharif,Region_East,Maize,25.77,1047.38,53.72,Silt,40.68,171.81,105.3,40.75,46.35,1941.09
2024,Rabi,Region_South,Soybean,28.49,512.75,68.17,Clay,57.45,163.15,93.04,35.26,56.3,299.18
2023,Zaid,Region_West,Wheat,38.9,1013.52,86.14,Sandy,40.11,265.87,31.97,39.79,80.58,133.41
2016,Kharif,Region_East,Soybean,29.79,1038.98,82.18,Loam,48.65,305.37,203.46,49.69,29.48,117.84
2020,Kharif,Region_West,Soybean,35.69,1082.26,78.53,Clay,48.25,223.84,207.83,64.69,67.28,113.37
2018,Rabi,Region_West,Soybean,20.94,1371.5,76.24,Silt,35.25,179.32,145.11,49.68,35.57,100.24
2024,Zaid,Region_South,Rice,28.43,632.53,58.96,Sandy,3.52,355.58,78.59,45.56,32.04,858.64
2024,Rabi,Region_Central,Wheat,28.5,744.01,72.14,Loam,60.11,517.47,229.38,40.53,34.84,247.15
2019,Kharif,Region_North,Rice,37.9,546.43,81.75,Silt,46.48,548.88,63.84,3.14,61.66,1713.6
2019,Kharif,Region_Central,Rice,39.82,771.13,66.35,Loam,21.24,256.0,135.73,6.8,28.56,2956.1
2021,Zaid,Region_East,Wheat,33.66,999.24,66.93,Clay,45.56,138.1,51.48,62.01,42.13,238.88
2022,Kharif,Region_Central,Soybean,34.31,983.07,62.95,Silt,43.0,260.57,33.11,49.45,29.74,308.05
2012,Zaid,Region_East,Rice,33.55,1292.23,65.73,Silt,59.67,556.72,129.28,56.55,31.43,1336.95
2024,Rabi,Region_East,Rice,30.02,947.06,58.4,Clay,47.08,454.31,134.36,56.18,67.01,1871.84
2025,Zaid,Region_North,Rice,34.17,800.17,70.36,Silt,47.13,357.85,124.76,52.26,39.79,2430.59
2016,Zaid,Region_South,Soybean,36.03,472.48,65.2,Silt,42.99,229.94,179.72,57.38,26.68,447.4
2010,Kharif,Region_North,Rice,24.32,1059.9,47.89,Silt,28.45,436.8,118.08,22.89,31.32,2155.07
2013,Kharif,Region_Central,Maize,28.84,753.05,100.0,Clay,50.09,639.39,152.49,51.33,45.59,976.57
2022,Zaid,Region_East,Wheat,36.07,1066.71,54.44,Clay,39.62,278.59,88.69,49.06,38.96,371.95
2025,Kharif,Region_West,Maize,33.62,672.57,67.98,Loam,25.71,4.46,171.8,66.46,40.05,4384.44
2013,Kharif,Region_West,Soybean,34.49,1160.21,70.92,Clay,30.11,146.08,175.21,0.0,34.02,96.36
2023,Kharif,Region_East,Rice,30.6,915.9,61.98,Silt,22.96,309.38,109.82,87.8,60.88,2325.89
2014,Zaid,Region_North,Wheat,28.74,1097.68,68.65,Clay,55.9,276.65,135.01,56.95,51.53,341.54
2016,Kharif,Region_South,Rice,29.71,915.74,57.72,Silt,69.68,504.08,92.05,45.12,35.51,1962.72
2016,Zaid,Region_North,Soybean,32.24,522.4,80.91,Silt,57.33,211.26,111.18,20.95,42.6,327.5
2022,Kharif,Region_East,Wheat,31.21,690.39,69.67,Silt,45.64,273.83,149.49,34.17,23.71,865.31
2024,Rabi,Region_East,Maize,18.16,415.88,80.78,Clay,39.02,202.88,139.39,46.94,38.53,2206.64
2020,Kharif,Region_South,Wheat,28.67,855.39,92.05,Silt,35.64,416.85,50.83,73.41,26.19,140.1
2022,Kharif,Region_Central,Rice,29.56,361.21,65.78,Loam,25.21,170.93,74.51,70.51,43.91,1241.24
2013,Zaid,Region_Central,Wheat,20.79,888.16,81.6,Sandy,69.2,264.78,96.48,52.37,37.93,258.9
2022,Zaid,Region_South,Soybean,36.16,0.0,93.05,Sandy,24.49,71.48,128.79,54.61,35.18,68.59
2025,Kharif,Region_Central,Soybean,30.82,1042.98,68.15,Loam,27.26,220.71,83.3,43.98,42.86,129.88
2016,Rabi,Region_West,Wheat,24.33,468.9,80.37,Sandy,37.07,549.42,63.44,19.68,45.97,627.54
2020,Kharif,Region_Central,Soybean,27.42,513.83,63.02,Loam,38.31,566.38,14.83,24.35,61.81,158.22
2012,Kharif,Region_Central,Soybean,32.93,1211.56,87.96,Clay,49.03,401.09,203.45,59.29,55.57,115.89
2015,Rabi,Region_Central,Soybean,18.84,895.94,62.5,Sandy,29.9,366.18,128.08,54.13,59.02,69.51
2021,Zaid,Region_West,Maize,28.63,1053.9,80.55,Loam,10.17,205.61,62.3,27.67,32.96,681.64
2011,Kharif,Region_Central,Rice,33.14,498.4,84.93,Loam,36.53,329.85,161.32,24.87,45.75,2545.32
2019,Zaid,Region_West,Soybean,33.79,1088.57,52.32,Silt,37.54,324.86,179.74,52.94,74.7,95.12
2022,Zaid,Region_South,Wheat,25.61,758.76,60.0,Clay,36.32,302.61,128.53,33.98,38.06,540.79
2023,Rabi,Region_North,Soybean,30.89,835.29,59.39,Loam,36.12,420.99,144.92,24.2,42.59,112.93
2018,Rabi,Region_South,Maize,19.21,1247.09,86.2,Sandy,34.74,158.48,172.35,46.84,42.85,838.46
2014,Zaid,Region_North,Wheat,31.34,451.13,52.37,Silt,20.13,684.31,144.22,53.53,37.92,292.41
2015,Kharif,Region_South,Rice,38.73,1073.91,74.89,Silt,61.93,543.72,145.3,17.95,65.76,2104.72
2021,Zaid,Region_North,Wheat,21.7,915.62,80.9,Silt,61.08,178.2,58.63,33.23,31.16,262.26
2021,Kharif,Region_North,Wheat,21.47,736.07,72.54,Clay,60.93,316.13,10.83,54.62,61.6,211.67
2021,Kharif,Region_East,Wheat,32.21,471.76,89.12,Loam,22.22,210.18,154.46,71.49,55.39,1167.31
